Id,SalePrice,LotArea,Utilities,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtFinType2,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageType,GarageArea,GarageCond,PavedDrive,MoSold,YrSold,SaleType,SaleCondition
11,129500,11200,AllPub,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,CompShg,HdBoard,HdBoard,0,TA,TA,CBlock,Unf,1040,1,0,1,0,3,TA,Typ,0,,Detchd,384,TA,Y,2,2008,WD,Normal
12,345000,11924,AllPub,Inside,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,CompShg,WdShing,Wd Shng,286,Ex,TA,PConc,Unf,2324,1,0,3,0,4,Ex,Typ,2,Gd,BuiltIn,736,TA,Y,7,2006,New,Partial
13,144000,12968,AllPub,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,CompShg,HdBoard,Plywood,0,TA,TA,CBlock,Unf,912,1,0,1,0,2,TA,Typ,0,,Detchd,352,TA,Y,9,2008,WD,Normal
14,279500,10652,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,CompShg,VinylSd,VinylSd,306,Gd,TA,PConc,Unf,1494,0,0,2,0,3,Gd,Typ,1,Gd,Attchd,840,TA,Y,8,2007,New,Partial
15,157000,10920,AllPub,Corner,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,CompShg,MetalSd,MetalSd,212,TA,TA,CBlock,Unf,1253,1,0,1,1,2,TA,Typ,1,Fa,Attchd,352,TA,Y,5,2008,WD,Normal
16,132000,6120,AllPub,Corner,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,CompShg,Wd Sdng,Wd Sdng,0,TA,TA,BrkTil,Unf,854,0,0,1,0,2,TA,Typ,0,,Detchd,576,TA,Y,7,2007,WD,Normal
17,149000,11241,AllPub,CulDSac,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,CompShg,Wd Sdng,Wd Sdng,180,TA,TA,CBlock,Unf,1004,1,0,1,0,2,TA,Typ,1,TA,Attchd,480,TA,Y,3,2010,WD,Normal
18,90000,10791,AllPub,Inside,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,CompShg,MetalSd,MetalSd,0,TA,TA,Slab,,1296,0,0,2,0,2,TA,Typ,0,,CarPort,516,TA,Y,10,2006,WD,Normal
19,159000,13695,AllPub,Inside,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,CompShg,VinylSd,VinylSd,0,TA,TA,PConc,Unf,1114,1,0,1,1,3,Gd,Typ,0,,Detchd,576,TA,Y,6,2008,WD,Normal
20,139000,7560,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,CompShg,BrkFace,Plywood,0,TA,TA,CBlock,Unf,1339,0,0,1,0,3,TA,Min1,0,,Attchd,294,TA,Y,5,2009,COD,Abnorml
21,325300,14215,AllPub,Corner,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,CompShg,VinylSd,VinylSd,380,Gd,TA,PConc,Unf,2376,0,0,3,1,4,Gd,Typ,1,Gd,BuiltIn,853,TA,Y,11,2006,New,Partial
22,139400,7449,AllPub,Inside,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,CompShg,Wd Sdng,Wd Sdng,0,TA,TA,PConc,Unf,1108,0,0,1,0,3,Gd,Typ,1,Gd,Attchd,280,TA,N,6,2007,WD,Normal
23,230000,9742,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,CompShg,VinylSd,VinylSd,281,Gd,TA,PConc,Unf,1795,0,0,2,0,3,Gd,Typ,1,Gd,Attchd,534,TA,Y,9,2008,WD,Normal
24,129900,4224,AllPub,Inside,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,CompShg,CemntBd,CmentBd,0,TA,TA,PConc,Unf,1060,1,0,1,0,3,TA,Typ,1,TA,Attchd,572,TA,Y,6,2007,WD,Normal
25,154000,8246,AllPub,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,CompShg,Plywood,Plywood,0,TA,Gd,CBlock,ALQ,1060,1,0,1,0,3,Gd,Typ,1,TA,Attchd,270,TA,Y,5,2010,WD,Normal
26,256300,14230,AllPub,Corner,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,CompShg,VinylSd,VinylSd,640,Gd,TA,PConc,Unf,1600,0,0,2,0,3,Gd,Typ,1,Gd,Attchd,890,TA,Y,7,2009,WD,Normal
27,134800,7200,AllPub,Corner,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,CompShg,Wd Sdng,Wd Sdng,0,TA,TA,CBlock,Rec,900,0,1,1,0,3,Gd,Typ,0,,Detchd,576,TA,Y,5,2010,WD,Normal
28,306000,11478,AllPub,Inside,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,CompShg,VinylSd,VinylSd,200,Gd,TA,PConc,Unf,1704,1,0,2,0,3,Gd,Typ,1,Gd,Attchd,772,TA,Y,5,2010,WD,Normal
29,207500,16321,AllPub,CulDSac,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,CompShg,MetalSd,MetalSd,0,TA,TA,CBlock,Unf,1600,1,0,1,0,2,TA,Typ,2,Gd,Attchd,319,TA,Y,12,2006,WD,Normal
30,68500,6324,AllPub,Inside,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,CompShg,MetalSd,MetalSd,0,TA,TA,BrkTil,Unf,520,0,0,1,0,1,Fa,Typ,0,,Detchd,240,TA,Y,5,2008,WD,Normal
31,40000,8500,AllPub,Inside,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,CompShg,BrkFace,BrkFace,0,TA,Fa,BrkTil,Unf,1317,0,0,1,0,3,TA,Typ,0,,Detchd,250,Fa,N,7,2008,WD,Normal
32,149350,8544,AllPub,CulDSac,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,CompShg,HdBoard,HdBoard,0,TA,TA,CBlock,Unf,1228,0,0,1,1,3,Gd,Typ,0,,Attchd,271,TA,Y,6,2008,WD,Normal
33,179900,11049,AllPub,Corner,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,CompShg,VinylSd,VinylSd,0,Gd,TA,PConc,Unf,1234,0,0,2,0,3,Gd,Typ,0,,Attchd,484,TA,Y,1,2008,WD,Normal
34,165500,10552,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,CompShg,BrkFace,BrkFace,0,TA,TA,CBlock,Unf,1700,0,1,1,1,4,Gd,Typ,1,Gd,Attchd,447,TA,Y,4,2010,WD,Normal
35,277500,7313,AllPub,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,CompShg,MetalSd,MetalSd,246,Ex,TA,PConc,Unf,1561,1,0,2,0,2,Ex,Typ,1,Gd,Attchd,556,TA,Y,8,2007,WD,Normal
36,309000,13418,AllPub,Inside,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,CompShg,VinylSd,VinylSd,132,Gd,TA,PConc,Unf,2452,0,0,3,1,4,Gd,Typ,1,Gd,BuiltIn,691,TA,Y,9,2006,WD,Normal
37,145000,10859,AllPub,Corner,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,CompShg,VinylSd,VinylSd,0,TA,TA,PConc,Unf,1097,0,0,1,1,3,TA,Typ,0,,Attchd,672,TA,Y,6,2009,WD,Normal
38,153000,8532,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,CompShg,Wd Sdng,Wd Sdng,650,TA,TA,CBlock,Unf,1297,0,1,1,0,3,TA,Typ,1,TA,Attchd,498,TA,Y,10,2009,WD,Normal
39,109000,7922,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,CompShg,VinylSd,VinylSd,0,TA,Gd,CBlock,Unf,1057,1,0,1,0,3,Gd,Typ,0,,Detchd,246,TA,Y,1,2010,WD,Abnorml
40,82000,6040,AllPub,Inside,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,CompShg,AsbShng,Plywood,0,TA,TA,PConc,,1152,0,0,2,0,2,Fa,Typ,0,,,0,,N,6,2008,WD,AdjLand
41,160000,8658,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,CompShg,Wd Sdng,Wd Sdng,101,TA,TA,CBlock,Unf,1324,0,0,2,0,3,TA,Typ,1,TA,Attchd,440,TA,Y,12,2006,WD,Abnorml
42,170000,16905,AllPub,Inside,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,CompShg,VinylSd,VinylSd,0,TA,Gd,CBlock,Unf,1328,0,1,1,1,2,TA,Typ,2,Gd,Attchd,308,TA,P,7,2007,WD,Normal
43,144000,9180,AllPub,CulDSac,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,CompShg,HdBoard,HdBoard,0,TA,TA,CBlock,LwQ,884,1,0,1,0,2,Gd,Typ,0,,Attchd,504,Gd,Y,12,2007,WD,Normal
44,130250,9200,AllPub,CulDSac,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,CompShg,VinylSd,VinylSd,0,TA,TA,CBlock,BLQ,938,1,0,1,0,3,TA,Typ,0,,Detchd,308,TA,Y,7,2008,WD,Normal
45,141000,7945,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,CompShg,BrkFace,Wd Sdng,0,TA,TA,CBlock,BLQ,1150,1,0,1,0,3,TA,Typ,0,,Attchd,300,TA,Y,5,2006,WD,Normal
46,319900,7658,AllPub,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,CompShg,MetalSd,MetalSd,412,Ex,TA,PConc,Unf,1752,1,0,2,0,2,Ex,Typ,1,Gd,Attchd,576,TA,Y,2,2010,WD,Normal
47,239686,12822,AllPub,CulDSac,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,CompShg,VinylSd,VinylSd,0,Gd,TA,PConc,Unf,2149,1,0,1,1,1,Gd,Typ,1,Ex,Attchd,670,TA,Y,8,2009,WD,Abnorml
48,249700,11096,AllPub,Inside,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,CompShg,VinylSd,VinylSd,0,Gd,TA,PConc,Unf,1656,0,0,2,0,3,Gd,Typ,0,,Attchd,826,TA,Y,7,2007,WD,Normal
49,113000,4456,AllPub,Inside,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,2008,CompShg,MetalSd,MetalSd,0,TA,TA,BrkTil,Unf,1452,0,0,2,0,2,TA,Typ,0,,,0,,N,6,2009,New,Partial
50,127000,7742,AllPub,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,1966,CompShg,HdBoard,HdBoard,0,TA,TA,CBlock,Unf,955,1,0,1,0,3,TA,Typ,0,,Attchd,386,TA,Y,1,2007,WD,Normal
51,177000,13869,AllPub,Corner,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,1997,CompShg,VinylSd,VinylSd,0,TA,TA,PConc,Unf,1470,0,1,2,0,3,TA,Typ,0,,Attchd,388,TA,Y,7,2007,WD,Normal
52,114500,6240,AllPub,Inside,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1934,1950,CompShg,Wd Sdng,Wd Sdng,0,TA,TA,PConc,Unf,1176,0,0,1,0,3,TA,Typ,1,Gd,Detchd,528,TA,Y,9,2006,WD,Normal
53,110000,8472,AllPub,Corner,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,1963,1963,CompShg,Wd Sdng,Wd Sdng,0,Fa,TA,CBlock,GLQ,816,1,0,1,0,2,TA,Typ,0,,CarPort,516,TA,Y,5,2010,WD,Normal
54,385000,50271,AllPub,Inside,Veenker,Norm,Norm,1Fam,1Story,9,5,1981,1987,WdShngl,WdShing,Wd Shng,0,Gd,TA,CBlock,Unf,1842,2,0,0,1,0,Gd,Typ,1,Gd,Attchd,894,TA,Y,11,2006,WD,Normal
55,130000,7134,AllPub,Inside,NAmes,Norm,Norm,1Fam,SLvl,5,5,1955,1955,CompShg,MetalSd,MetalSd,0,TA,TA,CBlock,Unf,1360,0,0,1,0,3,TA,Min1,1,TA,Detchd,572,TA,Y,2,2007,WD,Normal
56,180500,10175,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,6,5,1964,1964,CompShg,HdBoard,Plywood,272,TA,TA,CBlock,Unf,1425,0,0,2,0,3,TA,Typ,1,Gd,Attchd,576,TA,Y,7,2008,WD,Normal
57,172500,2645,AllPub,Inside,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,CompShg,MetalSd,MetalSd,456,Gd,TA,PConc,Unf,1739,1,0,2,1,3,Gd,Typ,0,,Attchd,480,TA,Y,8,2009,WD,Abnorml
58,196500,11645,AllPub,Corner,CollgCr,Norm,Norm,1Fam,2Story,7,5,2004,2004,CompShg,VinylSd,VinylSd,0,Gd,TA,PConc,Unf,1720,0,0,2,1,3,Gd,Typ,0,,Attchd,565,TA,Y,8,2006,WD,Normal
59,438780,13682,AllPub,CulDSac,StoneBr,Norm,Norm,1Fam,2Story,10,5,2006,2006,CompShg,VinylSd,VinylSd,1031,Ex,TA,PConc,Unf,2945,0,0,3,1,3,Gd,Typ,1,Gd,BuiltIn,641,TA,Y,10,2006,New,Partial
60,124900,7200,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,5,7,1972,1972,CompShg,HdBoard,HdBoard,0,TA,TA,CBlock,Unf,780,0,0,1,0,2,TA,Typ,0,,Detchd,352,TA,Y,1,2008,WD,Normal
61,158000,13072,AllPub,Inside,SawyerW,RRAe,Norm,1Fam,1Story,6,5,2004,2004,CompShg,VinylSd,VinylSd,0,TA,TA,PConc,Unf,1158,1,0,1,1,3,Gd,Typ,0,,Detchd,576,TA,Y,5,2006,New,Partial
62,101000,7200,AllPub,Inside,IDOTRR,Norm,Norm,1Fam,2.5Unf,5,7,1920,1996,CompShg,MetalSd,MetalSd,0,TA,TA,BrkTil,Unf,1111,0,0,1,0,3,Fa,Typ,0,,Detchd,288,TA,N,3,2007,WD,Normal
63,202500,6442,AllPub,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,CompShg,VinylSd,VinylSd,178,Gd,TA,PConc,Unf,1370,0,0,2,0,2,Gd,Typ,1,Gd,Attchd,484,TA,Y,10,2007,WD,Normal
64,140000,10300,AllPub,Inside,OldTown,RRAn,Feedr,1Fam,2Story,7,6,1921,1950,CompShg,Stucco,Stucco,0,TA,TA,BrkTil,Unf,1710,0,0,2,0,3,TA,Typ,0,,Detchd,480,TA,Y,4,2010,WD,Normal
65,219500,9375,AllPub,Inside,CollgCr,Norm,Norm,1Fam,2Story,7,5,1997,1998,CompShg,VinylSd,VinylSd,573,TA,TA,PConc,Unf,2034,1,0,2,1,3,Gd,Typ,0,,Attchd,645,TA,Y,2,2009,WD,Normal
66,317000,9591,AllPub,Inside,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,CompShg,VinylSd,VinylSd,344,Gd,TA,PConc,Unf,2473,0,0,2,1,4,Gd,Typ,1,Gd,BuiltIn,852,TA,Y,10,2007,WD,Normal
67,180000,19900,AllPub,Inside,NAmes,PosA,Norm,1Fam,1Story,7,5,1970,1989,CompShg,Plywood,Plywood,287,TA,TA,CBlock,Unf,2207,1,0,2,0,3,TA,Min1,1,Gd,Attchd,576,TA,Y,7,2010,WD,Normal
68,226000,10665,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,5,2003,2003,CompShg,VinylSd,VinylSd,167,Gd,TA,PConc,Unf,1479,1,0,2,0,3,Gd,Typ,0,,Attchd,558,TA,Y,6,2007,WD,Normal
69,80000,4608,AllPub,Corner,OldTown,Artery,Norm,1Fam,1Story,4,6,1945,1950,CompShg,MetalSd,MetalSd,0,TA,Gd,CBlock,Unf,747,0,0,1,0,2,TA,Typ,0,,Attchd,220,TA,Y,6,2010,WD,Normal
70,225000,15593,AllPub,Corner,ClearCr,Norm,Norm,1Fam,1.5Fin,7,4,1953,1953,CompShg,BrkFace,AsbShng,0,Gd,TA,CBlock,Unf,2287,0,0,2,0,3,TA,Typ,1,TA,Attchd,667,TA,Y,7,2006,WD,Normal
71,244000,13651,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,CompShg,Plywood,Plywood,1115,TA,Gd,CBlock,Unf,2223,1,0,2,0,3,TA,Typ,2,Gd,Attchd,516,TA,Y,2,2007,WD,Normal
72,129500,7599,AllPub,Corner,Mitchel,Norm,Norm,1Fam,1Story,4,6,1982,2006,CompShg,HdBoard,Plywood,0,TA,TA,CBlock,Unf,845,1,0,1,0,2,TA,Typ,0,,Detchd,360,TA,Y,6,2007,WD,Normal
73,185000,10141,AllPub,Corner,Gilbert,Norm,Norm,1Fam,2Story,7,5,1998,1998,CompShg,VinylSd,VinylSd,40,TA,TA,PConc,Unf,1718,0,0,2,1,3,TA,Typ,1,TA,Attchd,427,TA,Y,12,2009,WD,Normal
74,144900,10200,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,5,7,1954,2003,CompShg,Wd Sdng,Wd Sdng,104,TA,TA,CBlock,BLQ,1086,1,0,1,0,3,TA,Typ,0,,Attchd,490,TA,Y,5,2010,WD,Normal
75,107400,5790,AllPub,Corner,OldTown,Norm,Norm,1Fam,2Story,3,6,1915,1950,CompShg,VinylSd,VinylSd,0,Gd,Gd,CBlock,Unf,1605,0,0,2,0,3,TA,Typ,0,,Detchd,379,TA,Y,5,2010,WD,Normal
76,91000,1596,AllPub,Inside,MeadowV,Norm,Norm,Twnhs,SLvl,4,5,1973,1973,CompShg,CemntBd,CmentBd,0,TA,TA,CBlock,Unf,988,1,0,1,0,2,TA,Typ,0,,BuiltIn,297,TA,Y,11,2009,WD,Normal
77,135750,8475,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,4,7,1956,1956,CompShg,VinylSd,VinylSd,0,TA,TA,CBlock,Unf,952,0,0,1,0,2,TA,Typ,0,,Detchd,283,TA,Y,4,2008,WD,Normal
78,127000,8635,AllPub,Inside,BrkSide,Norm,Norm,1Fam,1.5Fin,5,5,1948,2001,CompShg,Wd Sdng,Wd Sdng,0,TA,TA,CBlock,GLQ,1285,1,0,1,0,2,TA,Min1,0,,Detchd,240,TA,Y,1,2008,WD,Normal
79,136500,10778,AllPub,Inside,Sawyer,Norm,Norm,Duplex,1Story,4,5,1968,1968,CompShg,HdBoard,HdBoard,0,TA,TA,CBlock,Unf,1768,0,0,2,0,4,TA,Typ,0,,,0,,Y,4,2010,WD,Normal
80,110000,10440,AllPub,Corner,OldTown,Norm,Norm,1Fam,2Story,5,6,1910,1981,CompShg,Wd Sdng,Wd Sdng,0,TA,TA,PConc,Unf,1230,0,0,1,1,2,TA,Typ,0,,Detchd,440,TA,Y,5,2009,WD,Normal
81,193500,13000,AllPub,Corner,NAmes,Norm,Norm,1Fam,2Story,6,6,1968,1968,CompShg,VinylSd,VinylSd,576,TA,Gd,CBlock,Unf,2142,0,0,2,1,4,Gd,Typ,1,Gd,Attchd,509,TA,Y,6,2009,WD,Normal
82,153500,4500,AllPub,FR2,Mitchel,Norm,Norm,TwnhsE,1Story,6,5,1998,1998,CompShg,VinylSd,VinylSd,443,TA,Gd,PConc,Unf,1337,1,0,2,0,2,TA,Typ,0,,Attchd,405,TA,Y,3,2006,WD,Normal
83,245000,10206,AllPub,Inside,Somerst,Norm,Norm,1Fam,1Story,8,5,2007,2007,CompShg,VinylSd,VinylSd,468,TA,TA,PConc,Unf,1563,0,0,2,0,3,Gd,Typ,1,Gd,Attchd,758,TA,Y,10,2008,WD,Normal
84,126500,8892,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,5,5,1960,1960,CompShg,MetalSd,MetalSd,66,TA,TA,CBlock,Unf,1065,0,0,1,1,3,TA,Typ,0,,Detchd,461,TA,Y,7,2007,COD,Normal
85,168500,8530,AllPub,Inside,Gilbert,Norm,Norm,1Fam,SLvl,7,5,1995,1996,CompShg,HdBoard,HdBoard,22,TA,TA,PConc,Unf,1474,0,0,2,1,3,TA,Typ,1,TA,BuiltIn,400,TA,Y,5,2009,WD,Normal
86,260000,16059,AllPub,Corner,NoRidge,Norm,Norm,1Fam,2Story,8,5,1991,1992,CompShg,HdBoard,HdBoard,284,Gd,TA,CBlock,Unf,2417,0,0,2,1,4,Gd,Typ,1,TA,Attchd,462,TA,Y,4,2006,WD,Normal
87,174000,11911,AllPub,Inside,Gilbert,Norm,Norm,1Fam,2Story,6,5,2005,2005,CompShg,VinylSd,VinylSd,0,Gd,TA,PConc,Unf,1560,0,0,2,1,3,Gd,Typ,1,Gd,BuiltIn,400,TA,Y,3,2009,WD,Normal
88,164500,3951,AllPub,Corner,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2009,2009,CompShg,VinylSd,VinylSd,76,Gd,TA,PConc,Unf,1224,0,0,2,1,2,Gd,Typ,0,,Detchd,528,TA,Y,6,2009,New,Partial
89,85000,8470,AllPub,Corner,IDOTRR,Feedr,Feedr,1Fam,1.5Fin,3,2,1915,1982,CompShg,Plywood,Plywood,0,Fa,Fa,CBlock,Unf,1526,0,0,1,0,2,Fa,Typ,0,,,0,,N,10,2009,ConLD,Abnorml
90,123600,8070,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,4,5,1994,1995,CompShg,VinylSd,VinylSd,0,TA,TA,PConc,Unf,990,1,0,1,0,3,TA,Typ,0,,,0,,Y,8,2007,WD,Normal
91,109900,7200,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,4,5,1950,1950,CompShg,BrkFace,Wd Sdng,0,TA,TA,Slab,,1040,0,0,1,0,2,TA,Typ,0,,Detchd,420,TA,Y,7,2006,WD,Normal
92,98600,8500,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,5,3,1961,1961,CompShg,HdBoard,HdBoard,203,TA,TA,CBlock,Unf,1235,0,0,1,0,2,TA,Typ,0,,Attchd,480,TA,Y,12,2006,WD,Abnorml
93,163500,13360,AllPub,Inside,Crawfor,Norm,Norm,1Fam,1Story,5,7,1921,2006,CompShg,Wd Sdng,Wd Sdng,0,TA,Gd,BrkTil,Unf,964,1,0,1,0,2,TA,Typ,0,,Detchd,432,TA,Y,8,2009,WD,Normal
94,133900,7200,AllPub,Corner,OldTown,Norm,Norm,2fmCon,2.5Unf,6,6,1910,1998,CompShg,MetalSd,MetalSd,0,TA,TA,BrkTil,Unf,2291,0,1,2,0,4,TA,Typ,1,Gd,Detchd,506,TA,Y,11,2007,WD,Normal
95,204750,9337,AllPub,Inside,CollgCr,Norm,Norm,1Fam,2Story,6,5,1997,1997,CompShg,VinylSd,VinylSd,0,TA,Gd,PConc,Unf,1786,1,0,2,1,3,Gd,Typ,0,,Attchd,684,TA,Y,5,2007,WD,Normal
96,185000,9765,AllPub,Corner,Gilbert,Norm,Norm,1Fam,2Story,6,8,1993,1993,CompShg,VinylSd,VinylSd,68,Ex,Gd,PConc,Unf,1470,0,0,2,1,3,TA,Typ,1,TA,BuiltIn,420,TA,Y,4,2009,WD,Normal
97,214000,10264,AllPub,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,5,1999,1999,CompShg,VinylSd,VinylSd,183,Gd,TA,PConc,Unf,1588,0,0,2,0,3,Gd,Typ,0,,Attchd,472,TA,Y,8,2006,WD,Normal
98,94750,10921,AllPub,Inside,Edwards,Norm,Norm,1Fam,1Story,4,5,1965,1965,CompShg,HdBoard,HdBoard,48,TA,TA,CBlock,Unf,960,1,0,1,0,3,TA,Typ,0,,Attchd,432,TA,P,5,2007,WD,Normal
99,83000,10625,AllPub,Corner,Edwards,Norm,Norm,1Fam,1Story,5,5,1920,1950,CompShg,Wd Sdng,Wd Sdng,0,TA,TA,BrkTil,Unf,835,0,0,1,0,2,TA,Typ,0,,Basment,366,TA,Y,5,2010,COD,Abnorml
100,128950,9320,AllPub,Inside,NAmes,Norm,Norm,1Fam,1Story,4,5,1959,1959,CompShg,Plywood,Plywood,0,TA,TA,CBlock,Unf,1225,1,0,1,1,3,TA,Typ,0,,,0,,Y,1,2010,WD,Normal
